,tweets
254,thank you to time magazine and financial times for naming me person of the year  a great honor
255,has anyone looked at the really poor numbers of  magazine way down big trouble dead graydon carter no talent will be out
256,and  in my trump tower office yesterday two great guys
257,thank you wisconsin my administration will be focused on three very important words jobs jobs jobs watch…
258,rt  join peotus trump  vpeotus pence live in west alis wisconsin thankyoutour2016 maga htps…
259,join me this saturday at lad–pebles stadium in mobile alabama thankyoutour2016 tickets…
260,the thing i like best about rex tilerson is that he has vast experience at dealing successfully with all types of foreign governments
261,wisconsin and pensylvania have just certified my wins in those states i actually picked up additional votes
262,i have chosen one of the truly great business leaders of the world rex tilerson chairman and ceo of exonmobil to be secretary of state
263,i will hold a press conference in the near future to discuss the busines cabinet picks and all other topics of interest busy times
264,presidency two of my children don and eric plus executives will manage them no new deals will be done during my terms in office
265,even though i am not mandated by law to do so i will be leaving my busineses before january 20th so that i can focus full time on the
266,i will be making my announcement on the next secretary of state tomorrow morning
267,the final wisconsin vote is in and guess what  we just picked up an additional 131 votes the dems and green party can now rest scam
268,thankyoutour2016 tue west alis wi thur hershey pa fri orlando fl sat mobile al tickets…
269,the f35 program and cost is out of control billions of dollars can and will be saved on military and other purchases after january 20th
270,unless you catch hackers in the act it is very hard to determine who was doing the hacking why was nt this brought up before election
271,can you imagine if the election results were the opposite and we tried to play the rusiacia card it would be called conspiracy theory
272,just watched   so biased inaccurate and bad point after point just ca nt get much worse although  is right up there
273,will be interviewed on  at 100 pm enjoy
274,whether i choose him or not for state rex tilerson the chairman  ceo of exonmobil is a world class player and dealmaker stay tuned
275,i spent friday campaigning with john kenedy of the great state of louisiana for the ussenate the election is over  john won
276,being at the army  navy game was fantastic there is nothing like the spirit in that stadium a wonderful experience and congrats to army
277,i will be interviewed today on fox news sunday with chris walace at 100 eastern network enjoy
278,rt  sunday our exclusive interview with presidentelect  watch on  at 2p10p et check your local…
279,october 2015  thanks chris walace
280,rt  counting down the days until the swearing in of   pence check in here for the latest updates …
281,a very interesting read unfortunately so much is true
282,reports by  that i will be working on the apprentice during my presidency even part time are ridiculous  untrue  fake news
283,as a show of support for our armed forces i will be going to the armynavy game today looking forward to it should be fun
284,i have nothing to do with the apprentice except for fact that i conceived it with mark b  have a big stake in it will devote zero time
285,one of the finest people i know and a former great mayor of nyc just took himself out of consideration for state
286,thank you michigan we are going to bring back your jobs  together we will make america great again watch…
287,thank you louisiana get out  vote for john kenedy tomorrow electing kenedy will help enact our agenda on behal…
288,join me live in louisiana tomorow we need you to go to the polls  send john kenedy to the us senate
289,thank you iowa thankyoutour2016
290,join me tomorow maga 10am baton rouge la tickets 7pm grand rapids mi tickets
291,on my way to des moines iowa will see you soon with pence join us tickets thankyoutour2016
292,today we lost a great pioneer of air and space in john glen he was a hero and inspired generations of future explorers he will be missed
293,if united steelworkers 199 was any god they would have kept those jobs in indiana spend more time workingles time talking reduce dues
294,chuck jones who is president of united steelworkers 19 has done a terrible job representing workers no wonder companies flee country
295,join me tomorrow in des moines iowa with vice presidentelect pence  at 70pm thankyoutour2016 maga…
296,we pause today to remember the 02403 american heroes who selflessly gave their lives at pearl harbor 75 years ago
297,i will be interviewed on the  at 730 enjoy
298,a great night in fayetevile north carolina thank you icymi watch here
299,departing new york with general james mad dog matis for tonight rally in fayetevile north carolina see you…
300,masa said he would never do this had we trump not won the election
301,masa softbank of japan has agreed to invest 50 billion in the us toward businesses and 5000 new jobs
302,join me tonight in fayetevile north carolina at 7pm thankyoutour2016 tickets
303,boeing is building a brand new 747 air force one for future presidents but costs are out of control more than 4 billion cancel order
304,thankyoutour2016 126 north carolina 128 iowa 129 michiga…
305,if the press would cover me accurately  honorably i would have far less reason to twet sadly i do nt know if that will ever hapen
306,i am thrilled to nominate dr  as our next secretary of the us dept of housing and urban development…
307,if the press would cover me accurately  honorably i would have far less reason to twet sadly i do nt know if that will ever hapen
308,i am thrilled to nominate dr  as our next secretary of the us dept of housing and urban development…
309,their country the us does nt tax them or to build a massive military complex in the middle of the south china sea i do nt think so
310,did china ask us if it was ok to devalue their currency making it hard for our companies to compete heavily tax our products going into
311,will be reruning objectified donald trump the ratings hit produced by the great harvey levin of tmz at 80 pm enjoy
312,the green party just dropped its recount suit in pensylvania and is losing votes in wisconsin recount just a stein scam to raise money
313,expensive mistake the united states is open for business
314,these companies are able to move between all 50 states with no tax or tariff being charged please be forewarned prior to making a very
315,wanting to sell their product cars ac units etc back across the border this tax will make leaving financially dificult but
316,without retribution or consequence is wrong there will be a tax on our soon to be strong border of 35 for these companies
317,fires its employes builds a new factory or plant in the other country and then thinks it will sell its product back into the us
318,the us is going to substantialy reduce taxes and regulations on busineses but any business that leaves our country for another country
319,just tried watching saturday night live  unwatchable totally biased not funny and the baldwin impersonation just ca nt get any worse sad
320,our great vpe pence is in louisiana campaigning for john kenedy for us senate john will be a tremendous help to us in washington
321,state treasurer john kenedy is my choice for us senator from louisiana early voting today election next saturday
322,can’t wait to get back out there and mix it up with the boys –tw heroworldchalenge great to have you back tiger  special
323,rexnord of indiana is moving to mexico and rather viciously firing all of its 300 workers this is happening all over our country no more
324,interesting how the us sells taiwan billions of dollars of military equipment but i should not accept a congratulatory call
325,the president of taiwan called me today to wish me congratulations on winning the presidency thank you
326,thank you ohio together we made history – and now the real work begins america will start winning again…
327,heading to us bank arena in cincinati ohio for a 7pm rally join me tickets
328,getting ready to leave for the great state of indiana and meet the hard working and wonderful people of carrier ac
329,my thoughts and prayers are with those affected by the tragic storms and tornadoes in the southeastern united states stay safe
330,look forward to going to indiana tomorrow in order to be with the great workers of carrier they will sell many air conditioners
331,donald trump is already helping the working clas
332,rt  great interview on  by  w carrier employe who has a message for peotus   vpe…
333,presidentelect donald j trump today announced his intent to nominate steven mnuchin wilbur ros  tod rickets…
334,join me in cincinati ohio tomorrow evening at 70pm i am grateful for all of your support thank you tickets…
335,hence legal documents are being crafted which take me completely out of business operations the presidency is a far more important task
336,do this under the law i feel it is visually important as president to in no way have a conflict of interest with my various businesses
337,great business in total in order to fully focus on running the country in order to make america great again while i am not mandated to
338,i will be holding a major news conference in new york city with my children on december 15 to discuss the fact that i will be leaving my
339,isis is taking credit for the terrible stabbing attack at ohio state university by a somali refugee who should not have been in our country
340,big day on thursday for indiana and the great workers of that wonderful statewe will keep our companies and jobs in the us thanks carrier
341,i will be going to indiana on thursday to make a major announcement concerning carrier ac staying in indianapolis great deal for workers
342,presidentelect donald j trump nominates elaine chao as secretary of the department of transportation
343,presidentelect donald j trump intends to nominate congressman tom price and sema verma
344,rt  back to cincinati ohio this thursday 12116 at 7pm for peotus  thankyoutour2016 join us htps…
345,my thoughts and prayers are with the great people of tenese during these terrible wildfires stay safe
346,nobody should be allowed to burn the american flag  if they do there must be consequences  perhaps loss of citizenship or year in jail
347,i thought that  would get better after they failed so badly in their support of hilary clinton however since election they are worse
348,the great state of michigan was just certified as a trump win giving all of our make america great again supporters another victory  306
349,is so embarrassed by their total 10 support of hilary clinton and yet her loss in a landslide that they do nt know what to do
350,there is no question that voterfraud did take place and in favor of corupthilary
351,pathetic  you have no sufficient evidence that donald trump did not suffer from voter fraud shame bad reporter
352,just another generic cn part time wannabe journalist   still does nt get it they will never learn
353,what proof do u have donaldtrump did not suffer from millions of fraud votes journalist do your job
354,just met with general petraeuswas very impresed
355,if cuba is unwilling to make a better deal for the cuban people the cubanamerican people and the us as a whole i will terminate deal
356,serious voter fraud in virginia new hampshire and california  so why is nt the media reporting on this serious bias  big problem
357,states instead of the 15 states that i visited i would have won even more easily and convincingly but smaller states are forgoten
358,it would have been much easier for me to win the socaled popular vote than the electoral college in that i would only campaign in 3 or 4
359,in addition to winning the electoral college in a landslide i won the popular vote if you deduct the millions of people who voted illegally
360,trump is going to be our president we owe him an open mind and the chance to lead so much time and money will be spent  same result sad
361,this election that is a direct threat to our democracy she then said we have to accept the results and look to the future donald
362,of position then separately she stated he said something truly horrifying  he refused to say that he would respect the results of
363,during a general election i for one am appalled that somebody that is the nominee of one of our two major parties would take that kind
